Temperature,Alpha,Learning Rate,Val Accuracy (%),Epochs Trained
3.0,0.5,5e-05,91.60,3
3.0,0.9,2e-05,91.52,3
3.0,0.9,5e-05,91.44,3
4.0,0.7,5e-05,91.40,3
3.0,0.7,5e-05,91.36,3
1.5,0.5,5e-05,91.32,3
4.0,0.9,2e-05,91.20,3
2.0,0.7,5e-05,91.12,3
2.0,0.9,5e-05,91.04,3
4.0,0.7,5e-05,90.92,2
2.0,0.9,5e-05,90.72,2
1.5,0.5,5e-05,90.68,2
3.0,0.5,5e-05,90.52,2
3.0,0.9,2e-05,90.52,2
4.0,0.9,2e-05,90.48,2
2.0,0.7,5e-05,90.32,2
3.0,0.9,5e-05,90.32,2
3.0,0.7,5e-05,90.20,2
1.5,0.7,5e-05,90.20,2
4.0,0.5,5e-05,90.12,2
1.5,0.9,2e-05,90.08,2
1.5,0.5,2e-05,90.04,2
1.5,0.7,2e-05,89.96,2
1.5,0.9,5e-05,89.92,2
3.0,0.5,2e-05,89.88,2
3.0,0.5,5e-05,89.68,1
3.0,0.7,5e-05,89.68,1
2.0,0.5,5e-05,89.64,2
4.0,0.9,5e-05,89.52,2
2.0,0.5,5e-05,89.48,1
1.5,0.5,5e-05,89.44,1
2.0,0.9,5e-05,89.36,1
1.5,0.9,5e-05,89.32,1
1.5,0.7,2e-05,89.24,1
4.0,0.7,5e-05,89.16,1
1.5,0.9,2e-05,89.00,1
2.0,0.7,5e-05,88.84,1
3.0,0.9,5e-05,88.72,1
1.5,0.7,5e-05,88.68,1
1.5,0.5,2e-05,88.56,1
3.0,0.5,2e-05,88.44,1
4.0,0.9,5e-05,88.40,1
4.0,0.5,5e-05,88.20,1
4.0,0.9,2e-05,88.20,1
3.0,0.9,2e-05,88.12,1
2.0,0.7,2e-05,88.08,1
2.0,0.9,2e-05,88.04,1
2.0,0.5,2e-05,88.00,1
4.0,0.7,2e-05,87.96,1
3.0,0.7,2e-05,87.92,1
4.0,0.5,2e-05,87.88,1
2.0,0.9,1e-05,87.72,1
3.0,0.5,1e-05,87.56,1
3.0,0.7,1e-05,87.52,1
1.5,0.5,1e-05,87.36,1
1.5,0.7,1e-05,87.04,1
1.5,0.9,1e-05,87.00,1
4.0,0.5,1e-05,86.76,1
2.0,0.5,1e-05,86.68,1
2.0,0.7,1e-05,86.68,1
4.0,0.9,1e-05,86.60,1
3.0,0.9,1e-05,86.16,1
4.0,0.7,1e-05,86.12,1
