Temperature,Alpha,Learning Rate,Val Accuracy (%),Epochs Trained
4.0,0.9,5e-05,88.24,3
3.0,0.9,5e-05,88.24,3
1.5,0.5,5e-05,87.96,3
2.0,0.5,5e-05,87.84,3
1.5,0.7,5e-05,87.76,3
3.0,0.7,5e-05,87.72,3
4.0,0.5,5e-05,87.68,3
1.5,0.9,5e-05,87.68,3
3.0,0.5,5e-05,87.32,3
4.0,0.9,5e-05,86.92,2
3.0,0.5,5e-05,86.48,2
1.5,0.5,5e-05,86.44,2
3.0,0.7,5e-05,86.40,2
2.0,0.5,5e-05,86.16,2
1.5,0.7,5e-05,86.12,2
4.0,0.5,5e-05,86.04,2
1.5,0.9,5e-05,86.04,2
3.0,0.9,5e-05,86.04,2
3.0,0.5,2e-05,85.60,2
4.0,0.7,5e-05,85.52,2
2.0,0.9,5e-05,85.52,2
2.0,0.7,5e-05,85.44,2
1.5,0.7,2e-05,85.44,2
3.0,0.7,2e-05,85.28,2
1.5,0.5,2e-05,85.08,2
2.0,0.7,2e-05,84.76,2
3.0,0.9,2e-05,84.56,2
1.5,0.9,5e-05,84.40,1
4.0,0.5,5e-05,84.36,1
1.5,0.7,5e-05,83.92,1
2.0,0.7,5e-05,83.64,1
3.0,0.5,5e-05,83.56,1
2.0,0.5,5e-05,83.32,1
1.5,0.5,5e-05,83.00,1
1.5,0.7,2e-05,82.92,1
4.0,0.7,5e-05,82.88,1
2.0,0.9,5e-05,82.84,1
3.0,0.7,5e-05,82.80,1
3.0,0.9,2e-05,82.64,1
3.0,0.7,2e-05,82.56,1
3.0,0.5,2e-05,82.52,1
2.0,0.7,2e-05,82.48,1
4.0,0.9,5e-05,82.36,1
1.5,0.5,2e-05,82.04,1
3.0,0.9,5e-05,81.92,1
4.0,0.9,2e-05,81.80,1
1.5,0.9,2e-05,81.60,1
4.0,0.5,2e-05,81.60,1
2.0,0.5,2e-05,81.32,1
1.5,0.5,1e-05,81.04,1
3.0,0.9,1e-05,80.92,1
4.0,0.7,1e-05,80.84,1
4.0,0.7,2e-05,80.68,1
1.5,0.7,1e-05,80.56,1
2.0,0.9,1e-05,80.44,1
3.0,0.5,1e-05,80.44,1
1.5,0.9,1e-05,80.40,1
4.0,0.5,1e-05,80.32,1
2.0,0.5,1e-05,80.12,1
2.0,0.9,2e-05,80.04,1
4.0,0.9,1e-05,79.84,1
3.0,0.7,1e-05,79.40,1
2.0,0.7,1e-05,79.36,1
